Info: 0.00:289.60, v=22.05, t=106.00
Info: 0.00:285.18, v=22.05, t=106.20
Info: 0.00:280.77, v=22.05, t=106.40
Info: 0.00:276.36, v=22.05, t=106.60
Info: 0.00:271.95, v=22.05, t=106.80
Info: 0.00:267.54, v=22.05, t=107.00
Info: 0.00:263.13, v=22.05, t=107.20
Info: 0.00:258.72, v=22.05, t=107.40
Info: 0.00:254.31, v=22.05, t=107.60
Info: 0.00:249.90, v=22.05, t=107.80
Info: 0.00:245.49, v=22.05, t=108.00
Info: 0.00:241.08, v=22.05, t=108.20
Info: 0.00:236.67, v=22.05, t=108.40
Info: 0.00:232.26, v=22.05, t=108.60
Info: 0.00:227.85, v=22.05, t=108.80
Info: 0.00:223.44, v=22.05, t=109.00
Info: 0.00:219.03, v=22.05, t=109.20
Info: 0.00:214.62, v=22.05, t=109.40
Info: 0.00:210.21, v=22.05, t=109.60
Info: 0.00:205.79, v=22.05, t=109.80
Info: 0.00:201.38, v=22.05, t=110.00
Info: 0.00:196.97, v=22.05, t=110.20
Info: 0.00:192.56, v=22.05, t=110.40
Info: 0.00:188.15, v=22.05, t=110.60
Info: 0.00:183.74, v=22.05, t=110.80
Info: 0.00:179.33, v=22.05, t=111.00
Info: 0.00:174.92, v=22.05, t=111.20
Info: 0.00:170.51, v=22.05, t=111.40
Info: 0.00:166.10, v=22.05, t=111.60
Info: 0.00:161.69, v=22.05, t=111.80
Info: 0.00:157.28, v=22.05, t=112.00
Info: 0.00:152.87, v=22.05, t=112.20
Info: 0.00:148.46, v=22.05, t=112.40
Info: 0.00:144.05, v=22.05, t=112.60
Info: 0.00:139.64, v=22.05, t=112.80
Info: 0.00:135.23, v=22.05, t=113.00
Info: 0.00:130.81, v=22.05, t=113.20
Info: 0.00:126.40, v=22.05, t=113.40
Info: 0.00:121.99, v=22.05, t=113.60
Info: 0.00:117.58, v=22.05, t=113.80
